anahtar,konusmaci,sapma,f0,tini,seviye,z_f0,z_tini,z_seviye
D4B_N_ECLIPSE_3,SPK_NIKO,1.8,355.6,2466.7,-24.3,1.8,1.5,0.7
D4B_N_THROW_CHICKEN_2,SPK_NIKO,1.8,355.6,2257.1,-23.4,1.8,0.0,1.3
D9_T_URBAN_Q,SPK_TOLGA,1.8,150.9,1650.1,-21.5,0.3,2.2,0.0
MG_MAN_E_LOSE,SPK_EMPEROR,1.8,90.4,1412.7,-27.1,1.8,1.4,1.7
D6_URBAN_CUBE,SPK_URBAN,1.8,285.7,1976.0,-20.1,1.8,0.6,0.0
D10H_K_STAY,SPK_EMPEROR,1.8,98.2,1554.0,-23.9,0.6,2.2,0.6
D10H_T_G_WARN,SPK_TOLGA,1.8,188.2,1373.9,-20.7,1.8,0.2,0.6
D6B_C_LIGHTER,SPK_CLERK,1.8,183.9,2253.3,-18.1,1.8,0.5,1.4
D6B_NIHAT_CAMEO,SPK_NIHAT,1.8,242.4,1246.7,-24.3,1.8,0.2,1.5
D7_N_CANNON,SPK_NIHAT,1.8,242.4,1210.1,-22.3,1.8,0.3,0.1
MG_HAG_DOUBLE_SWEET,SPK_DOUBLE,1.8,213.3,1900.0,-17.5,1.8,0.6,1.1
NPC_PAINTER_3,SPK_PAINTER,1.8,110.0,1457.0,-23.6,1.8,1.6,0.5
D5_H_AFTER_NO,SPK_HIKMET,1.8,280.7,1843.1,-21.3,1.8,2.2,0.8
D14_M_FIXED,SPK_MUFIDE,1.8,225.4,1275.3,-23.4,1.8,0.2,0.8
D2_S_BLOCK,SPK_SOLDIER,1.8,326.7,2825.2,-15.3,1.5,2.2,0.8
D10Z_K_FIRE_1,SPK_KADRI,1.8,280.7,1836.2,-25.0,1.8,1.1,0.3
D12_END_12_4_2,SPK_TOLGA,1.8,157.1,1641.1,-21.9,0.5,2.2,0.3
D5_H_FOUND_TIN,SPK_HIKMET,1.8,333.3,2681.9,-19.3,1.0,2.2,0.5
D9_H_NO_ANSWER,SPK_HIKMET,1.8,280.7,2325.3,-20.0,1.8,0.3,0.0
D10H_N_K,SPK_NIKO,1.7,264.5,2182.2,-27.1,1.7,0.5,1.1
D15_S_W6,SPK_TOLGA,1.7,157.7,1639.7,-21.1,0.6,2.2,0.3
D4B_N_THROW_SACK,SPK_NIKO,1.7,333.3,2564.2,-25.8,0.9,2.2,0.3
D5_H_SEAL2,SPK_HIKMET,1.7,285.7,1847.8,-19.0,1.5,2.2,0.7
REACT_DERVISH_POWERBANK,SPK_DERVISH,1.7,91.4,1145.5,-19.9,0.3,2.2,0.9
D10A_N_01,SPK_NIHAT,1.7,240.6,1190.5,-20.8,1.7,0.6,0.9
D11_N_ITEM_BOOK,SPK_NIHAT,1.7,240.6,1252.7,-20.0,1.7,0.3,1.4
D9_H_CALL,SPK_HIKMET,1.7,285.7,1965.9,-15.7,1.5,1.6,2.9
REACT_CLERK_TAPE,SPK_CLERK,1.7,155.3,2400.7,-26.5,0.1,1.0,2.9
REACT_NIHAT_LIGHTER,SPK_NIHAT,1.7,240.6,1329.0,-21.7,1.7,1.3,0.3
D12_F_ITEMS,SPK_FATIH,1.7,136.8,895.7,-18.0,1.7,0.7,1.4
D4A_ITEM_CHICKPEAS_1,SPK_HASAN,1.7,213.3,1527.3,-25.3,1.7,1.4,1.4
REACT_FATIH_COLOGNE,SPK_FATIH,1.7,136.8,1080.1,-17.5,1.7,1.5,1.6
REACT_GIUST_SELFIE,SPK_GIUST,1.7,235.3,2006.0,-23.8,1.7,0.4,0.3
D1_H_16,SPK_HIKMET,1.7,313.7,2671.3,-21.3,0.0,2.1,0.8
D2_S_LOG,SPK_SOLDIER,1.7,340.4,2794.5,-14.2,1.6,2.1,1.2
D3_H_7C,SPK_HIKMET,1.7,326.5,2671.5,-19.0,0.7,2.1,0.7
D7_LUTFI_TRUTH_C,SPK_LUTFI,1.7,153.8,959.7,-21.0,0.1,2.1,0.6
D8_H_G3_NO,SPK_HIKMET,1.7,285.7,1859.3,-22.3,1.5,2.1,1.5
D10B_T_POWDER_3,SPK_TOLGA,1.7,186.1,1233.3,-22.0,1.7,0.8,0.3
D10L_T_COLLAPSE_2,SPK_TOLGA,1.7,186.0,1393.8,-18.9,1.7,0.4,1.8
D7_N_HOLO_OTAG,SPK_NIHAT,1.7,238.8,1266.8,-21.9,1.7,0.5,0.2
D7_N_HOLO_OUTSIDE,SPK_NIHAT,1.7,238.8,1138.2,-20.7,1.7,1.3,0.9
D7_N_TRACE_CHANCERY,SPK_NIHAT,1.7,238.8,1347.4,-22.0,1.7,1.5,0.1
EV_COUNCIL_5,SPK_TOLGA,1.7,186.0,1353.3,-22.4,1.7,0.1,0.6
ITEM_SELF_THERMOS,SPK_TOLGA,1.7,130.6,1631.1,-21.5,0.6,2.1,0.0
D3_N_KIND,SPK_NIHAT,1.7,187.7,1389.1,-21.3,0.5,2.1,0.6
D3_R_IDLE,SPK_RIZA,1.7,250.0,2668.5,-17.7,0.7,2.1,0.9
D11_N_ITEM_ANY,SPK_NIHAT,1.7,110.0,1078.5,-22.1,1.4,2.1,0.0
D1_H_01,SPK_HIKMET,1.7,320.0,1866.1,-21.7,0.3,2.1,1.1
D5_H_PICK_ANTENNA,SPK_HIKMET,1.7,313.7,2663.6,-20.5,0.0,2.1,0.3
D9_T_H2_1,SPK_TOLGA,1.7,175.8,1211.0,-17.3,1.3,0.9,2.8
REACT_LUTFI_LIGHTER,SPK_LUTFI,1.7,108.8,1289.1,-27.7,1.6,0.5,2.8
D10L_T_CANDLE,SPK_TOLGA,1.7,111.9,1051.5,-22.3,1.3,2.1,0.6
D10O_TAILOR_1,SPK_TAILOR,1.7,254.0,1691.8,-22.2,0.1,2.1,1.0
D4A_ITEM_TAPE_3,SPK_HASAN,1.7,307.7,1637.1,-17.8,0.6,0.9,2.8
D5_H_CALL_5,SPK_HIKMET,1.7,301.9,1868.3,-21.6,0.6,2.1,1.0
D7_N_TRACE_PALACE,SPK_NIHAT,1.7,160.8,1080.5,-24.4,0.2,2.1,1.5
MG_HAG_DOUBLE_OPEN,SPK_DOUBLE,1.7,254.0,2213.6,-21.6,0.1,2.1,0.7
REACT_HIKMET_TAPE,SPK_HIKMET,1.7,320.0,2660.0,-21.4,0.3,2.1,0.9
D10B_U_POWDER_3,SPK_URBAN,1.6,351.7,1935.7,-21.1,1.6,0.9,0.6
D10O_T_CAMELEER_ASK,SPK_TOLGA,1.6,185.0,1524.1,-21.4,1.6,1.3,0.1
D13_T_MISSED,SPK_TOLGA,1.6,107.4,1053.8,-24.4,1.5,2.1,1.9
D14_T_W1,SPK_TOLGA,1.6,185.0,1488.8,-20.7,1.6,1.1,0.5
D2_T_15,SPK_TOLGA,1.6,146.8,1623.4,-20.7,0.1,2.1,0.6
D4A_ITEM_SELFIE_3,SPK_HASAN,1.6,347.8,1928.2,-19.6,1.6,0.6,1.7
D4B_N_THROW_SHIELD,SPK_NIKO,1.6,320.0,2547.1,-25.9,0.4,2.1,0.3
D10B_U_B1_2,SPK_URBAN,1.6,301.9,1794.0,-19.6,0.9,2.0,0.4
D6B_C_SELFIE,SPK_CLERK,1.6,181.8,2302.8,-23.0,1.6,0.6,1.1
MG_HAG_DOUBLE_FAIR,SPK_DOUBLE,1.6,216.2,1744.8,-21.4,1.6,1.9,0.6
REACT_HIKMET_LIGHTER,SPK_HIKMET,1.6,326.5,2522.8,-24.1,0.7,1.4,2.7
D10O_TAILOR_2,SPK_TAILOR,1.6,210.5,1885.5,-21.2,1.6,0.8,0.3
D9_T_P_2,SPK_TOLGA,1.6,164.1,1458.3,-25.6,0.8,0.9,2.7
D10B_T_B3_4,SPK_TOLGA,1.6,169.3,1404.4,-17.5,1.0,0.5,2.7
D2_H_RADIO_YES,SPK_HIKMET,1.6,290.9,1879.4,-17.3,1.2,2.0,1.8
D9_T_GATE_BYZ,SPK_TOLGA,1.6,122.6,1058.0,-22.0,0.9,2.0,0.3
REACT_GUARDS_TAPE,SPK_HASAN,1.6,250.0,1403.2,-23.5,0.8,2.0,0.4
D10A_N_MEET_1,SPK_NIHAT,1.6,235.3,1220.4,-21.4,1.6,0.2,0.5
D10H_G_DONE,SPK_GIUST,1.6,192.8,1941.3,-25.0,1.6,0.7,1.1
D12_T_WHO_B,SPK_TOLGA,1.6,183.9,1340.0,-18.9,1.6,0.0,1.7
D7_M_BRIEF,SPK_MUFIDE,1.6,252.0,1409.4,-22.0,0.0,2.0,0.0
D7_N_TRACE_KITCHEN,SPK_NIHAT,1.6,235.3,1171.3,-22.3,1.6,0.8,0.1
MG_ARC_H_OPEN,SPK_HASAN,1.6,217.7,1462.5,-24.4,1.6,1.7,0.9
D6_LUTFI_DONE,SPK_LUTFI,1.6,190.5,1386.9,-19.3,1.6,1.2,1.4
D7_THEO_HELLO,SPK_THEODOROS,1.6,112.7,1233.8,-20.6,1.6,1.6,1.5
D9_LUTFI_TR1,SPK_LUTFI,1.6,128.0,974.9,-25.3,0.9,2.0,1.6
REACT_EMPEROR_THERMOS,SPK_EMPEROR,1.6,99.4,1513.2,-26.0,0.4,2.0,1.3
REACT_TAILOR_CUBE,SPK_TAILOR,1.6,262.3,2297.1,-20.2,0.1,2.0,0.3
D10O_A_NEXT,SPK_AGA,1.6,351.7,1865.9,-17.9,0.9,0.5,2.6
D9_MINER_OFFER_1,SPK_MINER,1.6,254.0,2444.9,-20.4,1.6,0.7,0.2
HIKMET_ITEM_TAPE,SPK_HIKMET,1.6,320.0,2644.1,-19.9,0.3,2.0,0.1
D14_M_NEW_1,SPK_MUFIDE,1.6,275.9,1275.9,-21.3,1.6,0.2,0.4
D14_M_NEW_3,SPK_MUFIDE,1.6,275.9,1234.2,-20.8,1.6,0.3,0.7
D5_H_02,SPK_HIKMET,1.6,320.0,1886.7,-16.8,0.3,2.0,2.1
D6B_G_INSURANCE,SPK_GIUST,1.6,210.5,2518.8,-23.3,0.2,2.0,0.1
REACT_FATIH_POWERBANK,SPK_FATIH,1.6,124.0,1117.7,-21.4,0.8,2.0,0.2
D10O_A_ITEM_CUBE,SPK_AGA,1.6,301.9,1761.0,-21.9,1.6,0.5,0.0
D12_F_CANNON_B,SPK_FATIH,1.6,93.8,950.9,-23.9,1.6,0.0,1.3
D14_N_FORGE,SPK_NIHAT,1.6,233.6,1247.3,-23.8,1.6,0.2,1.1
D2_S_14,SPK_SOLDIER,1.6,333.3,2430.2,-16.8,1.6,1.2,0.3
D2_S_14_NOFEZ,SPK_SOLDIER,1.6,333.3,2531.1,-15.1,1.6,1.4,0.9
D7_N_LUTFI_LEAVE,SPK_NIHAT,1.6,233.6,1223.7,-22.2,1.6,0.1,0.1
ITEM_SELF_CHICKPEAS,SPK_TOLGA,1.6,119.4,1288.2,-25.4,1.0,0.4,2.6
D10H_K_FIXED_1,SPK_EMPEROR,1.6,92.0,1230.0,-24.3,1.6,0.4,0.7
D13_MECLIS_1,SPK_HIKMET,1.6,320.0,2635.9,-20.7,0.3,1.9,0.4
D4A_ITEM_LIGHTER_1,SPK_HASAN,1.6,344.1,2162.0,-18.7,1.6,1.7,2.2
D8_H_RIDE_2,SPK_HIKMET,1.6,326.5,2637.2,-21.1,0.7,1.9,0.7
ITEM_SELF_CHICKPEAS_2,SPK_TOLGA,1.6,182.9,1444.2,-20.2,1.6,0.8,0.8
NPC_CALLIGRAPHER_4,SPK_CALLIGRAPHER,1.6,103.9,895.2,-19.0,1.6,0.8,0.1
REACT_CAMELEER_TAPE,SPK_CAMELEER,1.6,333.3,1975.5,-21.5,1.6,1.1,0.7
D10B_T_RADIO_2,SPK_TOLGA,1.6,136.8,1534.1,-17.6,0.3,1.4,2.6
D10O_A_Q1_OK,SPK_AGA,1.5,333.3,1827.4,-18.0,0.0,0.1,2.6
D10Z_K_LEBLEBI,SPK_KADRI,1.5,323.3,2287.8,-28.9,0.5,1.7,2.6
D15_O_IDK,SPK_TOLGA,1.5,182.2,1454.9,-21.9,1.5,0.8,0.3
D8_H_CAUGHT_1,SPK_HIKMET,1.5,320.0,2130.7,-16.2,0.3,0.7,2.6
REACT_DOUBLE_PHONE,SPK_DOUBLE,1.5,275.9,2197.1,-20.0,1.1,1.9,0.0
ITEM_SELF_SELFIE_2,SPK_TOLGA,1.5,152.4,1603.4,-19.6,0.3,1.9,1.3
D10O_A_AGAIN,SPK_AGA,1.5,363.6,1771.2,-20.0,1.5,0.4,1.2
D11_N_03,SPK_NIHAT,1.5,231.9,1290.8,-21.5,1.5,0.8,0.4
D11_N_ITEM_PHONE,SPK_NIHAT,1.5,228.6,1093.2,-24.0,1.4,1.9,1.2
D13_T_1977_1,SPK_TOLGA,1.5,181.8,1362.6,-21.1,1.5,0.2,0.3
D6_URBAN_BOOK,SPK_URBAN,1.5,290.9,2000.7,-19.4,1.5,0.4,0.5
D6_URBAN_POWERBANK_T,SPK_URBAN,1.5,290.9,1921.9,-20.6,1.5,1.0,0.3
D7_N_LUTFI_THANKS,SPK_NIHAT,1.5,231.9,1308.6,-22.1,1.5,1.0,0.0
MG_MAN_E_CAPTURE_2,SPK_EMPEROR,1.5,92.2,1310.2,-24.5,1.5,0.9,0.8
REACT_KID_SELFIE,SPK_KID,1.5,288.3,1455.0,-18.0,0.7,1.9,1.0
D11_M_LOST,SPK_MUFIDE,1.5,242.4,1115.3,-23.1,0.6,1.9,0.7
REACT_TAILOR_BOOK,SPK_TAILOR,1.5,264.5,2280.7,-19.7,0.2,1.9,0.7
D10B_F_B3_4,SPK_FATIH,1.5,122.6,794.0,-19.5,0.6,1.9,0.7
D4B_N_THROW_CHICKEN_1,SPK_NIKO,1.5,347.8,2246.2,-22.5,1.5,0.1,1.9
D4B_T_CELL,SPK_TOLGA,1.5,111.1,1080.3,-24.3,1.3,1.9,1.9
D7_GIUST_WARNED,SPK_GIUST,1.5,222.2,2499.4,-25.2,0.7,1.9,1.2
NPC_CALLIGRAPHER_1,SPK_CALLIGRAPHER,1.5,79.0,1498.6,-18.6,0.8,1.9,0.4
REACT_FISHMONGER_TAPE,SPK_FISHMONGER,1.5,372.1,2570.8,-21.6,0.0,1.9,0.3
D11_N_GIVE_UP,SPK_NIHAT,1.5,230.3,1289.8,-22.6,1.5,0.8,0.3
D13_H_LEVER,SPK_HIKMET,1.5,285.7,2055.8,-17.5,1.5,1.1,1.7
D9_H2_6,SPK_HIKMET,1.5,285.7,2173.5,-22.8,1.5,0.5,1.8
HIKMET_ITEM_BACK,SPK_HIKMET,1.5,285.7,2176.8,-17.7,1.5,0.5,1.6
D10H_K_HELP,SPK_EMPEROR,1.5,92.5,1187.4,-25.9,1.5,0.2,1.3
D13_T3_TOGETHER,SPK_TOLGA,1.5,180.8,1503.3,-20.2,1.5,1.2,0.9
REACT_DERVISH_PHONE,SPK_DERVISH,1.5,101.3,1572.9,-22.4,1.5,0.8,0.6
REACT_DERVISH_TAPE,SPK_DERVISH,1.5,101.3,1626.3,-19.5,1.5,1.2,1.1
D15_G_PYJAMA,SPK_HIKMET,1.5,290.9,2615.5,-20.0,1.2,1.8,0.1
MG_HAG_NIKO_LOSE,SPK_NIKO,1.5,307.7,1994.8,-24.5,0.1,1.8,0.6
REACT_MINER_POWERBANK,SPK_MINER,1.5,250.0,2701.4,-19.7,1.3,1.8,0.1
D10A_F_2,SPK_FATIH,1.5,133.3,1038.4,-20.2,1.5,1.0,0.4
D10O_A_Q2_LIE,SPK_AGA,1.5,355.6,1840.3,-18.2,1.1,0.2,2.4
D10O_G_ENVOY,SPK_HASAN,1.5,340.4,2114.2,-20.9,1.5,1.5,1.0
D10Z_F_01,SPK_FATIH,1.5,133.3,826.5,-22.0,1.5,1.5,0.4
D12_F_CANNON,SPK_FATIH,1.5,126.0,955.6,-15.6,0.9,0.1,2.4
D12_F_WHO_B,SPK_FATIH,1.5,133.3,1097.4,-18.0,1.5,1.7,1.4
D6B_N_DUNGEON,SPK_NIKO,1.5,290.9,2512.9,-25.8,0.7,1.8,0.3
D8_C_WHERE_HEIST,SPK_CEMIL,1.5,280.7,1523.0,-20.9,1.5,0.5,0.3
D11_N_01,SPK_NIHAT,1.4,137.9,1099.4,-21.6,0.7,1.8,0.3
D11_N_ARREST,SPK_NIHAT,1.4,228.6,1290.4,-22.5,1.4,0.8,0.3
D13_U3_03,SPK_URBAN,1.4,347.8,2017.8,-19.4,1.4,0.2,0.5
D14_N_FIXED,SPK_NIHAT,1.4,228.6,1191.6,-24.0,1.4,0.6,1.2
D1_H_YEAR_2026,SPK_HIKMET,1.4,320.0,2071.3,-16.4,0.3,1.0,2.4
D6_URBAN_LIGHTER,SPK_URBAN,1.4,347.8,1979.0,-19.7,1.4,0.6,0.3
D7_N_NIKO_ASK,SPK_NIHAT,1.4,228.6,1244.1,-23.0,1.4,0.1,0.6
D7_N_TRACE_ARTILLERY,SPK_NIHAT,1.4,228.6,1153.6,-22.1,1.4,1.1,0.0
EV_ENVOY_5,SPK_URBAN,1.4,347.8,2159.1,-20.6,1.4,0.9,0.3
REACT_GIUST_COLOGNE,SPK_GIUST,1.4,231.9,1897.3,-22.4,1.4,0.9,0.6
REACT_GIUST_CUBE,SPK_GIUST,1.4,231.9,2109.9,-21.7,1.4,0.1,1.1
D10Z_T_RADIO,SPK_TOLGA,1.4,129.6,1090.3,-21.7,0.6,1.8,0.2
HIKMET_ITEM_SELFIE,SPK_HIKMET,1.4,320.0,2607.0,-20.6,0.3,1.8,0.4
REACT_KID_COLOGNE,SPK_KID,1.4,307.7,1165.5,-18.7,1.4,1.0,0.7
D10H_T_FRANK_2,SPK_TOLGA,1.4,108.8,1145.2,-24.0,1.4,1.4,1.7
D4B_T_ECLIPSE_2,SPK_TOLGA,1.4,133.3,1091.5,-21.0,0.4,1.8,0.3
D6A_T_01,SPK_TOLGA,1.4,109.2,1092.0,-24.6,1.4,1.8,2.0
D10G_W_EARLY,SPK_WINE,1.4,231.9,1295.6,-20.6,1.4,0.6,1.0
D10H_L_02,SPK_LUTFI,1.4,186.0,1270.2,-20.7,1.4,0.3,0.7
D10H_TH_CONFESS,SPK_THEODOROS,1.4,90.1,1892.0,-28.6,1.2,0.8,2.4
D10Z_K_FIRE_3,SPK_KADRI,1.4,340.4,2135.8,-23.6,1.4,0.7,0.4
D1_H_14,SPK_HIKMET,1.4,340.4,2190.1,-18.2,1.4,0.4,1.2
D1_H_KICK_STRONG,SPK_HIKMET,1.4,340.4,1991.6,-18.2,1.4,1.4,1.2
D3_H_CONFESS_1,SPK_HIKMET,1.4,340.4,2494.0,-19.0,1.4,1.2,0.7
D3_H_END_31,SPK_HIKMET,1.4,340.4,2393.2,-19.1,1.4,0.7,0.6
D8_H_G2,SPK_HIKMET,1.4,340.4,2475.2,-19.8,1.4,1.1,0.2
D9_H_HERE,SPK_HIKMET,1.4,340.4,2131.8,-19.9,1.4,0.7,0.1
D9_KADRI_AGAIN,SPK_KADRI,1.4,340.4,1840.8,-22.5,1.4,1.1,1.1
D9_LUTFI_TRIAL,SPK_LUTFI,1.4,186.0,1227.2,-22.0,1.4,0.0,0.0
MG_ARC_H_MOVE,SPK_HASAN,1.4,225.4,1783.2,-24.9,1.4,0.2,1.2
MG_CAUL_K_MISS_2,SPK_KADRI,1.4,340.4,2271.2,-25.3,1.4,1.6,0.5
MG_HAG_WINE_OPEN,SPK_WINE,1.4,200.0,1349.9,-18.3,0.7,1.0,2.4
NPC_KID_THANKS_2,SPK_KID,1.4,283.2,1090.6,-22.4,0.5,1.8,0.9
REACT_NIKO_COLOGNE,SPK_NIKO,1.4,307.7,2505.8,-26.0,0.1,1.8,0.4
D10H_K_FRANK_3,SPK_EMPEROR,1.4,109.6,1470.5,-26.5,1.1,1.8,1.5
D11_N_FOUND,SPK_NIHAT,1.4,227.0,1184.6,-22.7,1.4,0.7,0.4
D11_N_ITEM_TAPE,SPK_NIHAT,1.4,227.0,1244.2,-20.9,1.4,0.1,0.8
D8_H_FAIL_LATE,SPK_HIKMET,1.4,320.0,1928.0,-18.6,0.3,1.8,1.0
D_CHICKEN_CATCH_3,SPK_TOLGA,1.4,149.5,1582.6,-22.2,0.2,1.8,0.5
D10H_T_FRANK_3,SPK_TOLGA,1.4,125.0,1097.8,-22.9,0.8,1.8,0.9
D11_N_ITEM_THERMOS,SPK_NIHAT,1.4,145.5,1104.1,-20.3,0.6,1.8,1.2
D13_T_BACK_4,SPK_TOLGA,1.4,160.8,1441.4,-25.0,0.7,0.7,2.3
D1_T_20,SPK_TOLGA,1.4,178.8,1506.2,-18.7,1.4,1.2,1.9
D2_T_AMPHORA,SPK_TOLGA,1.4,134.5,1097.0,-22.2,0.4,1.8,0.4
D3_R_11,SPK_RIZA,1.4,222.2,2284.4,-22.6,1.3,0.6,2.3
MG_CAUL_T_DUEL_LOSE,SPK_TOLGA,1.4,109.6,1273.7,-22.4,1.4,0.5,0.6
REACT_PAINTER_CHICKPEAS,SPK_PAINTER,1.4,93.0,1426.1,-24.9,0.5,1.8,0.4
D4B_NIKO_BOOK,SPK_NIKO,1.4,301.9,2008.8,-25.9,0.3,1.7,0.3
D5_V_2,SPK_VAN,1.4,296.3,1708.1,-24.3,1.4,0.5,0.4
D10L_D_03,SPK_MINER,1.4,228.6,1881.6,-20.6,0.2,1.7,0.4
D1_H_04,SPK_HIKMET,1.4,307.7,1934.7,-21.1,0.3,1.7,0.7
D4B_NIKO_CHICKPEAS,SPK_NIKO,1.4,329.9,2501.2,-24.1,0.8,1.7,0.9
HIKMET_ITEM_THERMOS,SPK_HIKMET,1.4,301.9,1936.1,-18.5,0.6,1.7,1.0
REACT_HIKMET_THERMOS,SPK_HIKMET,1.4,304.8,2167.6,-23.5,0.5,0.5,2.3
D10A_N_MEET_5,SPK_NIHAT,1.4,225.4,1286.8,-22.5,1.4,0.7,0.2
D10L_D_DIG_5,SPK_MINER,1.4,228.6,2669.7,-18.2,0.2,1.7,1.1
D10L_N_DIG_2,SPK_NIHAT,1.4,225.4,1213.4,-23.1,1.4,0.3,0.6
D10Z_T_LEBLEBI,SPK_TOLGA,1.4,110.3,1516.5,-21.7,1.4,1.3,0.2
D13_H3_TUNE,SPK_HIKMET,1.4,320.0,2591.5,-19.5,0.3,1.7,0.4
D4B_NIKO_POWERBANK,SPK_NIKO,1.4,333.3,2013.7,-23.5,0.9,1.7,1.2
D6B_T_LETTER,SPK_TOLGA,1.4,110.3,1196.2,-23.7,1.4,1.0,1.4
D6_KADRI_CHICKPEAS_T,SPK_TOLGA,1.4,110.3,1314.3,-22.6,1.4,0.2,0.7
D7_NIKO_CELL,SPK_NIKO,1.4,285.7,2348.5,-28.9,0.9,0.7,2.3
D7_N_TRACE_WALLS,SPK_NIHAT,1.4,225.4,1247.1,-22.7,1.4,0.2,0.4
REACT_CLERK_POWERBANK,SPK_CLERK,1.4,177.8,1857.0,-19.2,1.4,1.0,0.9
D10G_T_W_3,SPK_TOLGA,1.4,177.8,1370.7,-19.0,1.4,0.2,1.7
D11_N_WALL,SPK_NIHAT,1.4,148.8,1107.5,-21.6,0.5,1.7,0.3
D4A_HA_END,SPK_HASAN,1.4,323.3,1830.5,-18.7,1.0,0.1,2.3
D6_LUTFI_ASK,SPK_LUTFI,1.4,127.0,1362.3,-26.6,0.9,1.1,2.3
REACT_KADRI_REPLAY_1,SPK_KADRI,1.4,320.0,2291.0,-24.4,0.3,1.7,0.0
D12B_K_DONE_1,SPK_EMPEROR,1.4,111.1,1117.3,-20.7,1.4,0.2,0.6
D12_END_12_6_1,SPK_FATIH,1.4,122.1,1093.3,-22.9,0.6,1.7,0.8
D1_H_KICK_WEAK2,SPK_HIKMET,1.4,326.5,2586.8,-20.6,0.7,1.7,0.4
REACT_EMPEROR_CHICKPEAS,SPK_EMPEROR,1.4,100.6,1457.9,-25.5,0.2,1.7,1.1
D10A_N_MEET_4,SPK_NIHAT,1.3,152.4,1356.8,-19.5,0.4,1.7,1.7
D10A_TH_05,SPK_THEODOROS,1.3,89.4,1727.9,-22.0,1.3,0.2,0.8
D12_F_ITEM_PHONE,SPK_FATIH,1.3,118.5,809.5,-22.5,0.3,1.7,0.7
D3_N_LIFT_EARLY,SPK_NIHAT,1.3,173.9,1109.1,-20.6,0.1,1.7,1.0
D4B_N_THROW_CHICKEN_4,SPK_NIKO,1.3,333.3,2494.2,-25.1,0.9,1.7,0.2
D9_LUTFI_YES,SPK_LUTFI,1.3,183.9,1250.8,-21.8,1.3,0.2,0.2
HIKMET_ITEM_LIGHTER,SPK_HIKMET,1.3,313.7,2180.7,-23.4,0.0,0.4,2.2
D10G_W_R1,SPK_WINE,1.3,190.5,1245.1,-23.5,1.3,0.2,0.8
D9_T_RADIO_DEAD,SPK_TOLGA,1.3,111.1,1309.5,-24.5,1.3,0.2,2.0
REACT_MINER_CHICKPEAS,SPK_MINER,1.3,213.3,2269.7,-21.6,1.3,0.0,1.0
D12_END_12_3_2,SPK_TOLGA,1.3,122.1,1111.0,-19.6,0.9,1.6,1.2
D9_KADRI_BUSY,SPK_KADRI,1.3,307.7,2284.2,-27.8,0.3,1.6,2.0
D9_T_FATIH,SPK_TOLGA,1.3,119.4,1168.7,-24.8,1.0,1.2,2.2
D10B_F_B3_1,SPK_FATIH,1.3,112.7,1063.1,-16.2,0.1,1.3,2.2
D10O_A_TIMEOUT,SPK_AGA,1.3,359.6,1820.7,-18.9,1.3,0.1,1.9
D16_H_GONE,SPK_HASAN,1.3,326.5,2151.3,-22.4,1.1,1.6,0.2
D6_URBAN_CHICKPEAS,SPK_URBAN,1.3,320.0,1982.0,-23.5,0.0,0.5,2.2
D8_H_LIST_HEIST,SPK_HIKMET,1.3,307.7,1950.8,-22.9,0.3,1.6,1.9
D10A_TH_EMPTY,SPK_THEODOROS,1.3,106.7,1220.1,-21.5,0.8,1.6,1.0
D10B_U_POWDER_1,SPK_URBAN,1.3,307.7,1845.3,-21.1,0.6,1.6,0.6
D10L_D_01,SPK_MINER,1.3,250.0,2470.6,-18.4,1.3,0.8,0.9
D10L_D_CANDLE,SPK_MINER,1.3,250.0,2385.6,-17.1,1.3,0.5,1.7
D13_R_OPEN,SPK_RIZA,1.3,238.8,2600.4,-19.0,0.1,1.6,0.0
D4A_ITEM_TAPE_2,SPK_TOLGA,1.3,133.9,1564.0,-22.3,0.4,1.6,0.5
D9_T_BYZ,SPK_TOLGA,1.3,111.9,1141.1,-23.0,1.3,1.4,1.0
D9_T_KADRI_Q,SPK_TOLGA,1.3,111.9,1358.9,-22.8,1.3,0.1,0.8
REACT_FATIH_PHONE,SPK_FATIH,1.3,114.3,814.4,-21.5,0.0,1.6,0.2
REACT_GUARDS_CHICKPEAS,SPK_HASAN,1.3,235.3,1486.1,-23.3,1.2,1.6,0.3
REACT_NOTARY_COLOGNE,SPK_NOTARY,1.3,179.8,1012.3,-20.2,0.3,1.6,0.1
D11_N_RELEASE,SPK_NIHAT,1.3,222.2,1205.1,-21.0,1.3,0.4,0.8
D3_N_LOOK_CLOCK,SPK_NIHAT,1.3,222.3,1128.0,-21.2,1.3,1.4,0.6
D4A_ITEM_PHONE_3,SPK_HASAN,1.3,333.3,2133.3,-21.2,1.3,1.6,0.8
D5_H_SEAL,SPK_HIKMET,1.3,307.7,2354.2,-16.8,0.3,0.5,2.1
D7_HASAN_TEA,SPK_HASAN,1.3,238.8,1487.2,-22.6,1.1,1.6,0.1
D7_N_HOT,SPK_NIHAT,1.3,222.2,1221.7,-21.2,1.3,0.2,0.6
D7_N_TEA,SPK_NIHAT,1.3,153.8,1352.4,-23.0,0.3,1.6,0.6
D9_THEO_NO,SPK_THEODOROS,1.3,108.1,1222.0,-20.1,1.0,1.6,1.7
D10B_T_B3_AIR,SPK_TOLGA,1.3,175.8,1354.6,-19.9,1.3,0.1,1.1
